Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
Dr. Ambedkar Post Matric Scholarship for Economically Backward Classes (EBC) Tripura,10+1 to post-graduation,10+2/Intermediate UG PG,https://scholarshiparena.in/dr-ambedkar-scholarship-tripura/,,EBC,Scholarship,Central, ,November to January
National Overseas Scholarship for SC Students,"SC Denotified Nomadic and Semi-Nomadic Tribes Landless Agricultural Labourers and Traditional Artisans to be eligible for scholarship, at least 60% marks or equivalent grade in the qualifying examination would be required. In case of Ph. D courses, the qualifying exam would be Master's Degree and for Master's Degree courses, the qualifying examination would be Bachelor's Degree.",UG PG,https://nosmsje.gov.in/Login.aspx,,SC Denotified Nomadic and Semi-Nomadic Tribes Landless Agricultural Labourers and Traditional Artisans,Scholarship,Central, ,April to May
AMP Higher Education Scholarship Fund,"Muslim students pursuing graduation The applicant must enroll in higher professional courses like Medical, Law, Journalism, Engineering, etc from India's top institutions like IITs, IIMs, IISC or GLC and others recognized by UGC/ AICTE are eligible.",UG Engineering,https://www.ampindia.org/amp_scholarship_fund,,Muslim Community only.,Scholarship,Central, ,May to July
SHDF Scholarships,Students pursuing diploma degree or postgraduate degree,UG PG,https://www.nishkam.org/,,Orphens,Scholarship,Central, ,June to August
INSEAD Deepak & Sunita Gupta Endowed Scholarships,MBA applicants,PG,https://www.insead.edu/insead-deepak-and-sunita-gupta-endowed-scholarships,,Open for all,Scholarship,Central, ,June to August
IDFC First MBA Scholarship,1st year MBA Students (India),PG,https://www.idfcfirstbank.com/csr-activities/educational-initiatives/mba-scholarship,,Open for all,Scholarship,Central, ,July
The G.S.B Scholarship,Students from class 5 to graduate level,Junior 10/High_School 10+2/Intermediate UG,https://www.gsbscholarshipleague.org/,,Open for all,Scholarship,Central, ,July to October
Azim Premji University Undergraduate Scholarship,Bachelor’s degree applicants,UG,https://azimpremjiuniversity.edu.in/undergraduate/fees-financial-aid,,Open for all,Scholarship,Central, ,March to April
Nurturing Talent Programme,Class 5th passed students,Junior,,,,Scholarship,Central, ,February to April
Joining Hands Higher Education Scholarship Program,Undergraduate and postgraduate applicants,UG PG,http://www.joininghandsindia.org/,,Open for all,Scholarship,Central, ,March to April
Padala Charitable Trust Scholarship,10+110+2 diploma and graduate students,10+2/Intermedate UG,https://pct-india.org/scholarship/,,Poor family EBW,Scholarship,Central, ,March to May
Kind Circle Meritorious Scholarship,Students studying in Class 9 to 1010+110+2 Graduation or Vocational programs (all years),Junior 10/High_School 10+2/Intermedate UG Others,https://www.kindcircle.org/,,Open for all,Scholarship,Central, ,January to March
Jauhar National Fellowship,Muslim minority students (UG and PG),UG PG,https://www.jauharuniversity.edu.in/jauhar_national_fellowship.html,,Muslim Minority,Fellowship,Central, ,September to November
Harvard Need Blind Scholarship,Undergraduates of Harvard University,UG,https://college.harvard.edu/financial-aid/apply-financial-aid,,Blind (Specially-abled student),Scholarship,Central, ,December to February
AICTE-Saksham Scholarship Scheme,Differently-abled students,UG,https://www.aicte-pragati-saksham-gov.in/institutes/login.php,,Specially-abled student,Scholarship,Central, ,October to December
Loan for Professional/Educational/Training Courses to Disabled Persons,Candidates with 40% or more disability. Pursuing graduate/postgraduate degree or a PG diploma.,UG PG ,https://www.bankbazaar.com/personal-loan/loan-facility-for-physically-handicapped-person.html,,Specially-abled student,Scholarship,Central, ,Runs all through the year
Dr. Radha Krishnan Scholarship HP Board of School Education,Class 10th/10+2 passed students,UG,https://scholarshiparena.in/radha-krishnan-scholarship/,,Open for all,Scholarship,Central, ,December to January
Medley Pharma Scholarship,Class 10th passed onwards,10+2/Intermediate,https://www.medleylab.com/csr/csr.html,,Open for all,Scholarship,Central, ,October to December
Sindhutai Sapakal Scheme for Educating Orphans and Children with Special Needs,Class 1st to post-graduation,Primary Junior 10/High_School 10+2/Intermediate UG PG,https://noticebard.com/sindhutai-sapakal-scheme/,,Orphens,Scholarship,Central, ,October to December
Sitaram Jindal Foundation Scholarship,10+1 to post-graduation,10+2/Intermediate UG PG,https://www.sitaramjindalfoundation.org/scholarships-for-students-in-bangalore.php,,Open for all,Scholarship,Central, ,Runs all through the year
LIC HFL Vidhyadhan Scholarship,Students of Class 8 to postgraduation,10/High_School 10+2/Intermediate UG PG,https://scholarshipresult.in/lic-hfl-vidyadhan/,,Open for all,Scholarship,Central, ,November to December
Merit Cum Means Scholarship for Professional and Technical Courses CS (Minorities),Students pursuing Professional and technical course,Others,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=775&lid=827,,Minority,Scholarship,Central, ,August to September
Keep India Smiling Foundational Scholarship Programme,Meritorious and deserving students,Others,https://www.colgate.com/en-in/smile-karo-aur-shuru-ho-jao/foundation-scholarship,,Open for all,Scholarship,Central, ,July to January
North South Foundation (NSF) Scholarship,Applicants must have passed their Class 12 Board Exams.Diploma students seeking to benefit from the NSF Scholarship must have passed their Class 10 Board Exams.Applicants must have attained a top 10% ranking in either the Class 10 or Class 12 Board Exams.,UG,https://www.northsouth.org/public/,,Open for all,Scholarship,Central, ,July to September
Nirankari Rajmata Scholarship Scheme,"To be eligible, an applicant must - be a regular student of a central/state government-recognised institution/universityhave taken admission in an institute/university through a competitive written testhold an admission offer in one of the following disciplines:Graduate degree in Engineering (or equivalent disciplines)Graduate degree in Medicine (Allopathic/Ayurvedic/Homeopathic)MBA/PGDMArchitectureCA (after qualifying CPT examination)CFA (after qualifying Foundation test)LLB (after qualifying for degree exams or passing the entrance test)Journalism and Mass Communicationhave secured at least 90% marks or above in the Class 12 examinationhave an annual family income of less than INR 3,50,000 from all sources",UG PG Engineering Medical,https://nirankarifoundation.org/nirankari-rajmata-scholarship-scheme-2023-24/,,EBC,Scholarship,Central, ,July to September
IndusInd Foundation Merit-cum-Means Scholarship,"Students who have passed class 12 in the current academic year with a minimum of 85% marks (aggregate), must have secured admission in a regular degree course of a recognised university in India.",UG,https://www.theglobalscholarship.org/page/sDwGJXw4CRfehIaqXq/indusind-foundation-scholarship-#:~:text=IndusInd%20Foundation%20is%20for%20candidates%2C%20commerce%2C%20or%20arts%20students.,,Open for all,Scholarship,Central, ,July to September
Baba Gurbachan Singh Scholarship Scheme,1st-year degree/diploma students,UG,https://nbgsmc.ac.in/scholarship-schemes-snm-sncf/,,EBC,Scholarship,Central, ,July to September
Central Sector Scheme of Scholarship for College and University Students,The applicant must be a regular student studying engineering/medical courses; must be above the 80th percentile of successful students in a relevant stream in Class 12 for exam board or equivalent; annual family income must not exceed INR 8 Lakh.,Engineering Medical,https://www.myscheme.gov.in/schemes/csss-cus,,EBC,Scholarship,Central, ,August to October
Nurture Merit cum Means Scholarship,Students pursuing graduation,UG,https://scholarshiparena.in/nurture-merit-cum-means-scholarship/,,EBC,Scholarship,Central, ,June to December
Vidyadhan Scholarship Program,Class 10th passed students,10+2/Intermediate,https://www.vidyadhan.org/apply,,Open for all,Scholarship,Central, ,May to July
Shubh Aarambh Scholarship,10+2 passed students,UG Engineering Others,https://scholarshiparena.in/shubh-aarambh-scholarship/,,Open for all,Scholarship,Central, ,May to August
LIC Golden Jubilee Scholarship,10+2 passed students pursuing UG/Vocational courses,UG Others,https://licindia.in/golden-jubilee-scholarship-scheme,,Open for all,Scholarship,Central, ,November to December
Nirmaan Scholarship and Mentorship Program (NSMP),Students who’ve passed 10+2,UG,https://nirmaan.org/,,Open for all,Scholarship,Central, ,May to July
Early Success Merit cum Means Scholarship,Students studying in class 6 to 10+2,Junior 10/High_School 10+2/Intermediate,https://www.examsplanner.in/scholarship/early-success-merit-cum-means-scholarship-program/,,Open for all,Scholarship,Central, ,May to July
DAIICT Admission Cum Scholarship,10+2 passed or appearing students,10+2/Intermediate,https://www.daiict.ac.in/da-iict-scholarships-msc-data-science-students,,Open for all,Scholarship,Central, ,April to July
Ryan Merit cum Means Scholarship,Students studying in Classes 8 to 10+2,Junior 10/High_School 10+2/Intermediate,https://scholars.olympiadsuccess.com/scholarship-class-9-ryan-merit-cum-means-scholarship,,Open for all,Scholarship,Central, ,April to June
SRM University Socio-Economic Scholarships,Students applying for an undergraduate course at SRM University,UG,https://www.learncbse.in/srm-scholarship/,,Open for all,Scholarship,Central, ,March to June
Inspire Merit cum Means Scholarship,Students pursuing graduation,UG,https://www.embibe.com/exams/inspire-scholarship/,,Open for all,Scholarship,Central, ,March to June
National Means Cum Merit Scholarship,Class 9th students,Junior ,https://dsel.education.gov.in/scheme/nmmss,,Open for all,Scholarship,Central, ,August to October
Swami Vivekananda Merit Cum Means Scholarship for Minorities (West Bengal),10+1 onwards students,10+2/Intermediate UG,https://svmcm.wbhed.gov.in/,,Open for all,Scholarship,Central, ,December to January
KEI High school Scholarship Program,Students studying in class 9,Junior 10/High_School,https://www.kashmirei.org/scholarship,,Open for all,Scholarship,Central, ,January to March
Schindler Igniting Minds Scholarship Program,Class 10th/10+2 passed students pursuing diploma courses,UG,https://www.schindler.in/en/about-us/social-responsibility/education.html,,Open for all,Scholarship,Central, ,January to March
Foundation for Excellence Scholarship,Students enrolling in BE/B.Tech and MBBS degree program,Engineering Medical,https://ffe.org/scholarships/,,Open for all,Scholarship,Central, ,October to December
Federal Bank Hormis Memorial Foundation Scholarships,MBBS B.E/B.Tech B.Sc(Agri/Nursing) MBA Students,Engineering Medical UG PG,https://www.federalbank.co.in/fedbank-hormis-memorial-foundation,,Open for all,Scholarship,Central, ,September to December
South Indian Bank (SIB) Scholarship Scheme,Undergraduates belonging to economically backward families of Kerala,UG,https://www.southindianbank.com/content/viewcontentlvl1.aspx?linkidlvl2=5&linkidlvl3=69&linkid=2647,,Open for all,Scholarship,Central, ,September to October
GEMS Genius Scholarship, School students,Junior Primary 10/High_School,https://www.gemseducation.com/Our-Schools/Scholarships,,Artist,Scholarship,Central, ,July to August
Cultural Talent Search Scholarship Scheme,Students in the age group of 10-14 years,Junior Primary 10/High_School,https://ccrtindia.gov.in/,,Artist,Scholarship,Central, ,November to January
Toto Music Award,Young and talented applicants under 30 years of age,Others,https://www.scholarshipsinindia.com/awards/toto_music_award.html,,Artist,Scholarship,Central, ,June to August
National Child Award for Exceptional Achievement,Students between 5 to 18 years of age,Others,https://www.scholarshiplives.com/national-child-award-exceptional-achievement/,,Artist,Scholarship,Central, ,June to August
Kalakriti Fellowship,"Young artists of age 25 to 40 years. The candidate must have at least a high-class master's degree with a second-class bachelor's degree, or second- class master's degree with a first-class bachelor's degree.",Others,http://www.sanskritifoundation.org/Kalakriti-Fellowship.htm,,Artist,Fellowship,Central, ,Runs all through the year
Madhobi Chatterji Memorial Fellowship,Young artists from any genre of Indian Classical Music or Dance,Others,http://www.sanskritifoundation.org/Madhobi-Chatterji-Memorial.htm,,Artist,Fellowship,Central, ,Runs all through the year
Mani Mann Fellowship,Young musicians of 25 to 40 years,Others,http://www.sanskritifoundation.org/Mani-Mann-Fellowship.htm,,Artist,Fellowship,Central, ,Runs all through the year
Young Artistes Scholarship,Young artists between 18 and 25 years of age,Others,https://www.indiaculture.gov.in/award-scholarships-young-artists-different-cultural-fields,,Artist,Scholarship,Central, ,September to November
Inlaks Fellowship for Indian Classical Music,Young vocal musicians,Others,https://inlaksfoundation.org/past-programs/music-past-programmes/indian-classical-music/,,Artist,Scholarship,Central, ,September to October
Lalit Kala Akademi Scholarship,21 years to 35 years artists.,Others,https://lalitkala.gov.in/scholarship,,Artist,Scholarship,Central, ,February to March
Sahitya Akademi Yuva Puraskar,Young Indian authors of age 35 years or below,Others,https://sahitya-akademi.gov.in/awards/yuva_samman_suchi.jsp,,Artist,Scholarship,Central, ,June to August
FICA Emerging Artist Award,Young artists (age 18 to 35 years),Others,https://ficart.org/emerging-artist-award-1,,Artist,Scholarship,Central, ,July to August
New India Foundation Fellowship 2018,Scholars and writers,Others,https://devinfo.in/scholarships/,,Artist,Fellowship,Central, ,April to June
Comix competition (International),Comic creators,Others,,,Artist,Scholarship,Central, ,December to January
The Hindu Playwright Award,Playwrights above the age of 18 years,Others,,Send the soft copy of the script and CV with name mobile/telephone number email id and postal address specified on it via email to playwrightaward@thehindu.co,Artist,Scholarship,Central, ,March to May
AAI Sports Scholarship Scheme in India,Players above 14 years who represent India in Sub-Junior / Junior / Senior National Championships All India Inter University Tournaments National School Games,Others,https://www.aai.aero/en/important-links/aai-sports-control-board,,Sports,Scholarship,Central, ,December to February
GEMS Genius Scholarship,School students,Junior Primary 10/High_School,https://www.scholarshipsinindia.com/gems_genius_scholarship.html,,Sports,Scholarship,Central, ,July to August
MKG Chess Scholarship,Girl chess player below the age of 18 years,Others,https://www.indiaeducation.shiksha/education-funding/scholarships/mkg-chess-scholarship.html,,Sports,Scholarship,Central, ,June to July
University of Sussex Sports Scholarships Scheme (UK),Master’s degree applicants (performing athletes),Others,http://www.sussex.ac.uk/sport/students/scholarships/apply,,Sports,Scholarship,Central, ,August to October
ASA International Scholarship (Australia),Students willing to study in Australia,Others,https://www.scholarshipcare.com/asa-international-scholarship-at-australian-colleges-of-further-education/,,Sports,Scholarship,Central, ,November to December
Symbiosis Society Foundation Sports Scholarships,Sportsperson enrolling/studying at Symbiosis International University,Others,https://www.symbiosis.ac.in/foundation.php,,Sports,Scholarship,Central, ,June to July
Dr. Reddy’s Foundation Sashakt Scholarship,10+2 passed girls,Engineering Medical UG PG,https://www.sashaktscholarship.org/,,Women,Scholarship,Central, ,July to August
Santoor Women’s Scholarship,10+2 passed girls,UG,https://www.santoorscholarships.com/,,Women,Scholarship,Central, ,July to August
Begum Hazrat Mahal National Scholarship Scheme for Minorities Girls,Minorities girl students studying in Class 9th to 10+2,Junior 10/High_School 10+2/Intermediate,https://transformingindia.mygov.in/scheme/begum-hazrat-mahal-national-scholarship/,,Women,Scholarship,Central, ,July to September
Post-Graduate Indira Gandhi Scholarship for Single Girl Child,The single girl child of the family up to 30 years of age,PG,https://www.myscheme.gov.in/schemes/pg-igssgc,,Women,Scholarship,Central, ,February to March
Women Scientists Scheme-C (WOS-C),Women scientists above 27 years of age,PG,http://online-wosa.gov.in,,Women,Scholarship,Central, ,November to January
SOF Girl Child Scholarship Scheme (G.C.S.S),Girls of classes 1 to 10,Primary Junior 10/High_School,https://sofworld.org/girl-child-scholarship-scheme-gcss,,Women,Scholarship,Central, ,June to October
L’Oréal India For Young Women in Science Scholarship,10+2 passed girls (Science),UG,https://www.foryoungwomeninscience.co.in/,,Women,Scholarship,Central, ,June to July
UGAM – Legrand Scholarship Program,10+2 passed girls,UG,https://legrandscholarship.co.in/,,Women,Scholarship,Central, ,June to July
AICTE-Scholarship Scheme to Girl Child (SSGC) under Pragati,Girl students entering the first year of technical courses,UG,https://infinitylearn.com/surge/aicte-pragati-scholarship-for-girls-2020-application-status-eligibility-application/,,Women,Scholarship,Central, ,October to December
Marubeni India Meritorious Scholarship,10+2 pass-outs pursuing the 1st year of graduation,UG,https://scholarshiparena.in/marubeni-india-meritorious-scholarship/,,Women,Scholarship,Central, ,November to January
Smt. Geeta Lochan Girl Child Scholarship Programme,meritorious girl child belonging to financial weaker section of society who wish to pursue Higher Education in Arunachal University of Studies for selected programmes. ,Others,https://scholarshiparena.in/smt-geeta-lochan-girl-child-scholarship/,,Women,Scholarship,Central, ,May to June
Sasakawa India Leprosy Foundation Nursing Scholarship Programme,Girls who want to pursue B.Sc. (Basic Nursing),UG,https://silf.in/scholarships/,,Women,Scholarship,Central, ,March to May
Prabha Dutt Fellowship,Women journalists of the age group 25 to 40 years,Others,http://www.sanskritifoundation.org/prabha-dutt-fellowship.htm,,Women,Fellowship,Central, ,Runs all through the year
Kalpana Chawla Memorial Award,Girl students appearing in 10+2,UG,https://pscwb.org.in/kalpana-chawla-memorial-award/,,Women,Scholarship,Central, ,March to May
Lady Meherbai D Tata Education Scholarship,Women graduates,UG,https://www.tatatrusts.org/our-work/individual-grants-programme/education-grants,,Women,Scholarship,Central, ,February to April
Tata Housing Scholarships for Meritorious Girl Students,Girl students in the 2nd year of BE/B.Tech/B.Arch,Engineering UG,https://scholarshiparena.in/tata-housing-scholarships/,,Women,Scholarship,Central, ,January to March
Muslim Nadar Girls Scholarship Kerala,1st-year girl students of HSC/ VHSC/ undergraduate course,10/HighSchool 10+2/Intermediate UG,https://collegiateedu.kerala.gov.in/?page_id=1207,,Women,Scholarship,Central, ,July to August
Bigyani Kanya Medha Britti Scholarship (JBNSTS) West Bengal,10+2 passed girls,Engineering Medical UG,https://www.vidhyaa.in/scholarship/bigyani-kanya-medha-britti-scholarship-west-bengal,,Women,Scholarship,Central, ,May to July
Pragati Scholarship For Girl,Undergraduate girl students,UG,https://transformingindia.mygov.in/scheme/pragati-scholarship-for-girl/,,Women,Scholarship,Central, ,January to February
Women as Cyber Leaders Scholarship (UK),MSc degree applicants (Female),PG,https://aseanop.com/women-cyber-leaders-scholarship-cranfield-university-uk/,,Women,Scholarship,Central, ,May to June
Facebook Grace Hopper Scholarship,Women pursuing a CS degree program,UG,https://research.facebook.com/blog/2017/5/facebook-grace-hopper-scholarship/,,Women,Scholarship,Central, ,May to June
Said Business School Scholarships for Women (UK),Women pursuing M.Sc. in Major Programme Management,PG,,mpm-enquiries@sbs.ox.ac.uk,Women,Scholarship,Central, ,April to June
International Women Forum Fellows Program,Emerging women leaders having at least 10 years of experience,Others,https://iwforum.org/,,Women,Scholarship,Central, ,April to June
Scholarship for Women: Professional MBA Facility Management,Female candidates,Others,https://www.scholarshipsinindia.com/scholarship-for-women-professional-mba-facility-management.html,,Women,Scholarship,Central, ,December to January
Women’s Cybersecurity Scholarships,10+2 (studying or passed) graduate and postgraduate female applicants,Others,https://www.iamcybersafe.org/s/womens-scholarships,,Women,Scholarship,Central, ,January to March
MKG Chess Scholarship,Girl chess player below the age of 18 years,Others,https://www.theglobalscholarship.org/page/ts5SLKflPGClDY0Hw3/mkg-scholarship-,,Women,Scholarship,Central, ,June to July
Pre-Matric Scholarship for SC ST BC and Disabled Welfare Students Andhra Pradesh,The scholarship is open for students belonging to SC ST BC EBC and disabled welfare category who are studying in class 5 to 10.The annual income of the family should not exceed INR 2 Lakh (for SC/ST candidates) and INR 1 Lakh (for BC EBC & Disabled candidates) from all sources.The students should also have an attendance of 75% at the end of each quarter.,Junior 10/High_School,https://jnanabhumi.ap.gov.in/,,SC ST BC EBC and Specially-abled student,Scholarship,State,Andhra Pradesh,NA
Post-Matric Scholarship for SC ST BC and Disabled Welfare Students Andhra Pradesh,The applicants must be pursuing 10+1 to PG level.The annual income of the family should not exceed INR 2 Lakh (for SC/ST candidates) and INR 1 Lakh (for BC EBC & Disabled candidates) from all sources.The students should also have an attendance of 75% at the end of each quarter.,10+2/Intermediate UG PG,https://jnanabhumi.ap.gov.in/,,SC ST BC EBC & Specially-abled student,Scholarship,State,Andhra Pradesh,NA
Pre-Matric Scholarship for Minority Community Students Andhra Pradesh,The students must be studying in class 6th to 10th.The annual income of the family should not exceed INR 1 Lakh.The students are also required to have an attendance of 75% in normal time.,Junior 10/High_School,https://christianminorities.ap.nic.in/scholarships.html,The students must submit their application in prescribed Application form available in web site www.christianminorities.ap.nic.in and also can obtain Application Form from our District Offices.,EBC Minority,Scholarship,State,Andhra Pradesh,NA
Post-Matric Scholarship for Minority Community Students Andhra Pradesh,The students must be pursuing 10+1 to PG courses.The annual income of the family should not exceed INR 1 Lakh.The students are also required to have an attendance of 75% in normal time.,10+2/Intermediate UG PG,https://christianminorities.ap.nic.in/scholarships.html,,EBC Minority,Scholarship,State,Andhra Pradesh,NA
Veda Vyasa Scheme for Vedic Education (VV-VE) Andhra Pradesh,The scholarship is open for Brahmin Community students of Andhra Pradesh.The students must fall into the age group of 8 to 19 years.The applicant must be pursuing a full-time Vedic course in any private Veda Patasala registered with Endowments Department of Andhra Pradesh or Tirumala Tirupati Devasthanams (TTD) or enlisted by Andhra Pradesh Brahmin Welfare Corporation.,Others,https://www.andhrabrahmin.ap.gov.in/,,Brahmin,Scholarship,State,Andhra Pradesh,Between July and October
Gayathri Scheme for Academic Excellence (GS-AE) Andhra Pradesh,The scholarship is open for Brahmin Community students of Andhra Pradesh.The topper students of class 10th 12th graduation vocational courses and postgraduation courses can apply for this scholarship.The applicant must not be in receipt of any other scholarship.,10/High_School 10+2/Intermediate UG PG Others,https://www.andhrabrahmin.ap.gov.in/,,Brahmin,Scholarship,State,Andhra Pradesh,Between June and July
Bharati Scheme for Education (BSE) Andhra Pradesh,The scholarship is open for Brahmin Community students of Andhra Pradesh.The students who are pursuing their regular studies from class 1 to postgraduation can apply.The annual income of the family should not exceed INR 3 Lakh.The applicants must not be in receipt of any other scholarship except the benefits from Archaka Welfare Trust.The scholarship is also open for differently-abled orphans and children of single parent if they are studying in a private school in Andhra Pradesh.The students who are in the first year of B. Tech programme must have obtained EAMCET rank below 50000.,Primary Junior 10/High+School 10+2/Intermediate UG PG,https://www.andhrabrahmin.ap.gov.in/,,Brahmin,Scholarship,State,Andhra Pradesh,Between July and September
