Name,Eligibility,Eligible,Links_online_application,Contacts_offline_applications,Special_Categories,Scholarship_Fellowship,Level,State,Application_Period
NTR Videshi Vidyadharana Scholarship Scheme for BC and EBC Students,The scholarship is open for students belonging BC and EBC category.The maximum age limit for the scholarship is 35 years.The students who are willing to pursue a postgraduate or PhD degree programme abroad can apply.For postgraduate course the applicants should possess a degree in engineering management agriculture sciences pure sciences social sciences humanities and medicine & nursing.For PhD course the applicants should possess a PG degree in engineering management agriculture sciences pure sciences social sciences humanities and medicine & nursing.The scholarship remains applicable for studies in countries like USA UK Canada Australia Germany Singapore Netherlands France China Sweden New Zealand Russia etc.Only one child of a family can apply for this scholarship.,PG Ph.D/Doctorate,https://jnanabhumi.ap.gov.in/,,BC EBC,Scholarship,State,Andhra Pradesh,Between August and September
Chandranna Videshi Vidya Deevena Scheme,The students belonging to economically weak families of Kapu Community of Andhra Pradesh are eligible to apply.The scheme is open for students who aspire to pursue graduation (only MBBS) postgraduation or PhD level courses abroad.The applicants belonging to Kapu Balija Ontari and Telaga sub-castes can apply.The annual income of the family should not be more than INR 6 Lakh.The age of the applicant should be 35 years or below.The applicable countries of study include USA UK Australia Singapore Canada New Zealand Germany Netherlands France China etc.,Medical PG,https://jnanabhumi.ap.gov.in/,,EBC,Scholarship,State,Andhra Pradesh,Between August and September & Between January and February
NTR Vidyonnathi Scheme,The scholarship is open for students belonging to SC ST BC Brahmin Kapu EBC and Minority students of Andhra Pradesh.The students must be preparing for civil services examination.The age of the candidates should be 21 to 32 years (for Kapu Brahmin Minority and EBC candidates) 21 to 35 years (for BC candidates) 21 to 37 years (for SC and ST candidates) 21 to 42 years (for differently abled candidates).The minimum educational qualification is a bachelor’s degree for this scholarship.The annual income of the family should not be more than INR 6 Lakh.,UG,https://jnanabhumi.ap.gov.in/,,Open for all,Scholarship,State,Andhra Pradesh,Between May and June
Combined Counselling Board (CCB) Scholarship Andhra Pradesh,The students of class 10th 12th and graduation can apply.The minimum marks obtained by them in the qualifying examination should be at least 33% to 50%.,10/High_School 10+2/Intermediate UG,https://www.ccbnic.in/Apply,,Open for all,Scholarship,State,Andhra Pradesh,Between October and April
Vidyadhan – Andhra Intermediate Scholarship Program,The scholarship is open for students of Andhra Pradesh only.The student must have passed class 10/SSLC.The annual income of the family should not be more than INR 2 Lakh.,10+2/Intermediate,https://www.vidyadhan.org/apply,,Open for all,Scholarship,State,Andhra Pradesh,Between May and June
Umbrella Scheme for Education of ST Students Pre-Matric Scholarship (Class IX and X) Arunachal Pradesh,The annual family income must not exceed INR 2 Lakh.The candidate studying in 9 or 10,Junior 10/High_School,https://scholarships.gov.in/,,ST,Scholarship,State,Arunachal Pradesh,NA
Umbrella Scheme for Education of ST Children Post Matric Scholarship Arunachal Pradesh,The candidate must be studying in 10+1 or above.The annual family income must not be more than INR 2.5 Lakh.,10+2/Intermediate UG,https://scholarships.gov.in/,,ST,Scholarship,State,Arunachal Pradesh,November
Scheme for Award of Stipend to ST Students Arunachal Pradesh,The candidate must have scored at least 60% marks in the last exam.10+2 passed students ,UG PG Ph.D/Doctorate,https://scholarships.gov.in/,,ST,Scholarship,State,Arunachal Pradesh,November
Pre-Matric Scholarship for SC Students (Class 1 to 10)  Assam,Students studying in class 1 to 10 ,Primary Junior 10/High_School,https://scholarships.gov.in/,,SC,Scholarship,State,Assam,January 20 2023
Pre-Matric Scholarship for SC Students (Class 9 to 10)  Assam,students who are studying in classes 9 and 10 income of the family should be less than INR 2.5 Lakh per annum,Junior 10/High_School,https://scholarships.gov.in/,,SC,Scholarship,State,Assam,January 20 2023
Pre-Matric Scholarship for OBC Students  Assam,The students of classes 1 to 10 hold a minimum attendance of 60% in the previous yearThe annual income of the family should be less than INR 2.50 Lakh,Primary Junior 10/High_School,https://scholarships.gov.in/,,OBC,Scholarship,State,Assam,December 31 2022
Pre-Matric Scholarship for ST Students (Class 9 to 10)  Assam,Students who are studying in classes 9 and 10. The annual income of the family should be less than INR 2 Lakh per annum,Junior 10/High_School,https://scholarships.gov.in/,,ST,Scholarship,State,Assam,December 31 2022
Post Matric Scholarship for OBC Students Assam,Students of 10+1 to postdoctoral. The annual income of the family should not exceed INR 1.50 Lakh per annum from all sources,10+2/Intermediate UG PG,https://scholarships.gov.in/,,OBC,Scholarship,State,Assam,December 31 2022
Post Matric Scholarship for ST Students Assam,Students of 10+1 to postdoctoral. The annual income of the family should not exceed INR 2 Lakh per annum from all sources,10+2/Intermediate UG PG,https://scholarships.gov.in/,,ST,Scholarship,State,Assam,December 31 2022
Post Matric Scholarship (PMS) for SC/ST Category Bihar 2023-24,The annual family income of parents should not be more than ?250000 lakh from all sources,10+2/Intermediate UG PG,https://www.pmsonline.bih.nic.in/pmsedu/(S(r52z00gd0zdo5ljpngn02zgb))/pms/Default.aspx,,SC ST,Scholarship,State,Bihar,December 31 2023
Post Matric Scholarship (PMS) for BC/EBC Category Bihar 2023-24,The annual family income of parents should not be more than ?100000 from all sources,10+2/Intermediate UG PG,https://www.pmsonline.bih.nic.in/pmsedu/(S(r52z00gd0zdo5ljpngn02zgb))/pms/Default.aspx,,BC EBC,Scholarship,State,Bihar,September 30 2023
Mukhyamantri Kanya Utthan Yojana Bihar 2023,10+2 passed students,UG,https://medhasoft.bih.nic.in/,,EWS,Scholarship,State,Bihar,December 25 2023
Chief Minister Kanya Utthan Yojana for 10+2 Bihar,10+2 passed unmarried women,UG,https://medhasoft.bih.nic.in/,,Women,Scholarship,State,Bihar,March 31 2023
Chief Minister Kanya Utthan Yojana for Graduation Bihar 2023,The girl students who have completed their graduation,UG,https://medhasoft.bih.nic.in/,,Women,Scholarship,State,Bihar,April 30 2023
Bihar Mukhyamantri Atyant Pichhda Varg Civil Seva Protsahan Yojana 2023,The candidate must have passed the Civil Services Preliminary Examination,Others,https://state.bihar.gov.in/main/CitizenHome.html,,EBC,Scholarship,State,Bihar,August 17 2023
Post Matric Scholarship for SC Students Chandigarh,The applicants must student of 10+1 to postdoctoral level.The annual family income must not exceed INR 2.5 Lakh.,10+2/Intermediate UG PG,https://scholarships.gov.in/,,SC,Scholarship,State,Chandigarh,December 20 2022
Post Matric Scholarship Scheme for Transgender Students Chandigarh,The annual family income must not exceed INR 2.5 Lakh. The students must be pursuing post-secondary or post-matriculation courses except training courses from a recognised institution.,10+2/Intermediate UG PG,https://scholarships.gov.in/,,Others (Transgender),Scholarship,State,Chandigarh,November 30 2022
Post Matric Scholarship Scheme for OBC Students Chandigarh,The annual family income must not exceed INR 2.5 Lakh.,10+2/Intermediate UG PG,https://scholarships.gov.in/,,OBC,Scholarship,State,Chandigarh,December 20 2022
Dr. BR Ambedkar Post Matric Scholarship for Economically Backward Class Students Chandigarh,The annual family income must not exceed INR 1 Lakh.,10+2/Intermediate UG PG,https://scholarships.gov.in/,,General,Scholarship,State,Chandigarh,December 20 2022
Pre Matric Scholarship Scheme for SC Students Chandigarh,The candidate must be studying in class 9 or 10.The annual family income must not exceed INR 2.5 Lakh.,Junior 10/High_School,https://scholarships.gov.in/,,SC,Scholarship,State,Chandigarh,October 31 2022
Chandigarh University Scholarship and Admission Test (CU-SAT),Candidate must have passed 10+2 in any stream with at least 50% marks,UG PG,https://cucet.cuchd.in/?type=gsn-cucet&gad_source=1&gclid=CjwKCAiAvoqsBhB9EiwA9XTWGR8Fx_0hPHTnBniJYQYh4U-Nw__5F8SikXZ1_NxhgCCb7j43Lmu1gxoCFgkQAvD_BwE,,Open for all,Scholarship,State,Chandigarh,March to April
Attendance Scholarship to Girl Students Chandigarh,Students studying in class 1 to 5. The annual family income must not exceed INR 150000.The student must have achieved a monthly attendance of 75% or more.,Primay,https://www.chdeducation.gov.in/,,Women,Scholarship,State,Chandigarh,NA
Attendance Scholarship to SC/ST Students Chandigarh,the applicants must be studying in class 1 to 8.The applicants must fall in the age group of 6 to 14 years. The applicants must have achieved a monthly attendance of 60%.The annual family income must not be more than INR 1.5 Lakh.,Primary Junior,https://www.chdeducation.gov.in/,,SC ST,Scholarship,State,Chandigarh,NA
Talent Search Scholarship to SC/ST Students Chandigarh,The applicant must be studying in class 3. The candidate must obtain 60% marks in Talent Search Scholarship Examination,Primary,https://www.chdeducation.gov.in/,,SC ST,Scholarship,State,Chandigarh,NA
Extra Coaching Classes to SC Economically Weaker and Socially Underprivileged Chandigarh,Students studying in class 5 8 10 and 10+2 in a government school.,Primary Junior 10/High_School 10+2/Intermediate,https://www.chdeducation.gov.in/,,SC,Scholarship,State,Chandigarh,NA
Assistance to Physically Challenged Students Chandigarh,Students studying in class 1 to 5. The annual family income of the students must not exceed INR 1.5 Lakh,Primary,https://www.chdeducation.gov.in/,,Specially-abled student,Scholarship,State,Chandigarh,NA
Award of Meritorious Scholarship to SC/ST Students Chandigarh,Students studying in class 9 to 12.The students must have scored at least 55% marks.The annual family income must not be more than INR 1.5 Lakh.,Junior 10/High_School 10+2/Intermediate,https://www.chdeducation.gov.in/,,SC ST,Scholarship,State,Chandigarh,NA
Stipend to SC/ST & BC STUDENTS under State Harijan Welfare Scheme Chandigarh,The applicants must have passed class 5. The annual family income must not be more than INR 1.5 Lakh.,Junior 10/High_School,https://www.chdeducation.gov.in/,,SC ST EBC,Scholarship,State,Chandigarh,NA
Merit Scholarship on the basis of 5th class Scholarship Exam Chandigarh,The applicants must have passed class 5. The annual family income must not be more than INR 1.5 Lakh.,Junior 10/High_School,https://www.chdeducation.gov.in/,,Open for all,Scholarship,State,Chandigarh,NA
Merit Scholarship on the basis of 8th class annual Examination Chandigarh,Students who have passed class 8 annual exam with a score of 95% and above marks from Model schools or 85% and above marks from ordinary schools.,Junior,https://www.chdeducation.gov.in/,,Open for all,Scholarship,State,Chandigarh,NA
Pre-Matric Scholarship for SC/ST/OBC Students,The applicants must be studying at the pre-matric level.The annual family income of the applicants must not exceed ?200000.,Junior,https://schoolscholarship.cg.nic.in/,,ST SC OBC Women,Scholarship,State,Chhattisgarh,20th October 2023
BPL Scholarship Scheme for College Students Chhattisgarh ,The applicants must be studying in any Government college in Chhattisgarh.,10+2/Intermediate UG Medical,https://scholarships.gov.in/,,BPL,Scholarship,State,Chhattisgarh,30th November 2023
Rajya Chatra Vritti Scheme,The applicants must either be SC/ST female students studying from Classes 3 to 5 or SC/ST/OBC students in Classes 6 to 8.The family of the applicant must not fall under the Income Tax.The applicant’s family must not possess more than 10 acres of land.,Primary Junior,https://schoolscholarship.cg.nic.in/,,ST SC,Scholarship,State,Chhattisgarh,April  – May
Post Matric Scholarship for SC/ST/OBC Students,The annual family income of the students must not exceed ?250000 in the case of SC/ST applicants and ?100000 in the case of OBC applicants.The candidates must be studying 10+1 10+2.,10+2/Intermediate,https://schoolscholarship.cg.nic.in/,,ST SC,Scholarship,State,Chhattisgarh,30th December 2023
Kanya Saksharta Protsahan Yojana,The applicants must be female students studying in Class 5 and above.,Primary Junior 10/High_School,https://schoolscholarship.cg.nic.in/,,Women,Scholarship,State,Chhattisgarh,April-May
Unclean Business Scholarship Scheme,The applicants must be students of Classes 1 to 5.The scheme is eligible for selective occupations and not for a specific category. The students of families working in the following occupations are eligible:Scavenging familiesFlayer familiesTannersWaste picking/ collecting families,Primary,https://schoolscholarship.cg.nic.in/,,Open for all,Scholarship,State,Chhattisgarh,April-May
Chief Minister Gyan Protsahan Initiative Scheme,The applicants must be a student of either Class 10 or 12.The candidates must be meritorious students in their previous qualifications.Also they must be studying in the Chhattisgarh Secondary Education Board (CGBSE) Indian Council Secondary Education (ICSE) or Central Board of Secondary Education Board (CBSE).,10/High_Scghool 10+2/Intermediate,https://schoolscholarship.cg.nic.in/,,Open for all,Scholarship,State,Chhattisgarh,October and  November
